English,Hebrew,Pixabay_Search
nose,אף,human nose closeup
eleven,אחד עשר,number eleven 11
alligator,תנין,alligator animal
twelve,שניים עשר,number twelve 12
apple,תפוח,red apple fruit
avocado,אבוקדו,avocado fruit
number,מספר,colorful numbers
dog,כלב,dog
red,אדום,red paint bucket
ambulance,אמבולנס,ambulance car
duck,ברווז,duck animal
yellow,צהוב,yellow paint splash
astronaut,אסטרונאוט,astronaut space suit
desk,שולחן,student desk
green,ירוק,green leaves
ant,נמלה,ant insect
dad,אבא,father man parent
black,שחור,black color background
white,לבן,white background
baby,תינוק,baby infant
boy,ילד,smiling boy child
gray,אפור,gray color texture
balloon,בלון,colorful balloons
girl,ילדה,smiling girl child
orange,כתום,orange fruit
book,ספר,open book
mom,אמא,mother woman parent
purple,סגול,purple paint
box,קופסה,cardboard box
dad,אבא,father man parent
pink,ורוד,pink paint splash
bag,תיק,school bag
sister,אחות,sister girl
brown,חום,brown color texture
bad,רע,sad face emoji
brother,אח,brother boy
happy,שמח,happy smile face
big,גדול,big elephant
grandma,סבתא,grandmother woman
sad,עצוב,crying face child
ball,כדור,soccer ball
grandpa,סבא,grandfather man
mad,כועס,angry face person
elephant,פיל,elephant animal
hungry,רעב,hungry child eating
nine,תשע,number nine 9
kangaroo,קנגורו,kangaroo animal
notebook,מחברת,school notebook
dog,כלב,cute dog
